frame,timestamp,confidence,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,EAR,Pupil_Scale (Left),Pupil_Scale (Right)
7,0.24,0.88,-0.388,0.439,0.209,0.361,0.126,0.3506118329226333,24.512241839538095,19.7489240213233
8,0.28,0.88,-0.421,0.449,0.194,0.357,0.139,0.3518533692825622,23.204525420701792,18.160396471443104
9,0.32,0.88,-0.409,0.428,0.184,0.346,0.152,0.357496828110044,22.0081802973349,20.177710474679685
11,0.4,0.88,-0.417,0.487,0.215,0.312,0.155,0.29465256646820787,22.860008748904644,17.791008965204774
12,0.44,0.88,-0.421,0.505,0.232,0.299,0.148,0.28308661237647326,25.005999280172684,18.63357185297547
13,0.48,0.88,-0.354,0.453,0.228,0.289,0.145,0.30854056030014104,22.458851261807634,18.057962232765846
14,0.52,0.88,-0.343,0.441,0.206,0.273,0.138,0.29788319456291673,26.006922155456998,20.08108562802311
196,7.8,0.88,-0.169,0.303,0.117,0.023,0.073,0.19610268659532576,26.104788832702617,25.156311335328947
198,7.88,0.88,-0.029,0.293,0.146,0.02,0.138,0.18759639716927975,26.36095597659551,23.774145620820953
199,7.92,0.88,-0.036,0.332,0.168,0.008,0.15,0.19266439687217235,25.75131064625638,22.539077177204902
200,7.96,0.88,-0.039,0.338,0.193,0.011,0.157,0.21129159253569962,26.00999807766226,22.118318200080203
201,8.0,0.88,-0.02,0.305,0.169,0.014,0.164,0.2148297008276496,27.4563289607333,19.36207633493892
202,8.04,0.88,-0.02,0.316,0.179,0.016,0.165,0.22091063648403836,28.137519435799458,22.52287725846759
203,8.08,0.88,-0.019,0.35,0.201,0.02,0.173,0.2386676510053622,27.94601939453972,23.249946236496974
204,8.12,0.88,-0.035,0.362,0.216,0.03,0.173,0.25916169620137786,29.968149759369574,23.264780248263683
205,8.16,0.88,-0.064,0.361,0.201,0.014,0.168,0.2526308316009499,22.04359317352792,22.48999777678951
206,8.2,0.88,-0.096,0.381,0.156,0.017,0.153,0.22427416094839508,29.006378608850707,27.902867236182043
207,8.24,0.98,-0.086,0.379,0.155,0.035,0.133,0.23372633428085965,27.4235300426476,27.86036611389021
208,8.28,0.98,-0.059,0.368,0.165,0.03,0.117,0.2275660763797847,22.299103120977858,27.252339349127435
209,8.32,0.88,-0.048,0.348,0.147,0.02,0.103,0.2330540245834848,21.358136622842444,27.80395655298001
210,8.36,0.88,-0.027,0.354,0.165,0.004,0.092,0.2273467712085238,21.55411793602344,28.14604767991422
216,8.6,0.98,-0.034,0.443,0.292,-0.008,0.055,0.19548907371209548,28.508595195133694,29.52964612046673
217,8.64,0.98,-0.044,0.458,0.305,-0.004,0.051,0.18949582158536893,28.404401067440098,29.78355250805384
219,8.72,0.98,-0.052,0.433,0.292,0.0,0.047,0.19091588810395224,28.377808231080806,29.545388811115764
236,9.4,0.98,-0.119,0.51,0.285,0.015,0.074,0.18938431868348926,28.393309070976514,29.732978323740166
244,9.72,0.88,-0.127,0.501,0.3,0.015,0.056,0.16399692935786703,28.34872131155118,25.904825805243405
245,9.76,0.88,-0.209,0.489,0.296,0.019,0.061,0.21282517495733982,27.652305509667674,26.32736219221359
246,9.8,0.88,-0.237,0.504,0.281,0.013,0.068,0.19811163492407297,27.31904097877528,24.31316515799615
261,10.4,0.88,-0.178,0.453,0.405,0.095,-0.012,0.24213597497729616,27.8404382149419,21.94948746554238
262,10.44,0.88,-0.159,0.437,0.418,0.106,-0.016,0.2646183905824889,29.64321170183827,21.850629281556195
263,10.48,0.88,-0.147,0.47,0.454,0.115,-0.011,0.2664040528140775,28.00071427660373,21.242645786247973
264,10.52,0.88,-0.116,0.507,0.467,0.099,-0.007,0.26778541047750304,25.827891900037013,22.11176157613857
265,10.56,0.88,-0.021,0.598,0.474,0.098,-0.014,0.17187410435233869,24.67103564911696,21.7589062225104
266,10.6,0.88,0.079,0.657,0.494,0.077,-0.017,0.1781232691166845,25.16763795035203,20.600970850908855
267,10.64,0.88,0.089,0.655,0.512,0.041,-0.027,0.2033689700667185,26.91635190734442,21.31501817967787
268,10.68,0.98,0.006,0.655,0.507,0.014,-0.039,0.1935125921392904,26.361524993823817,21.102132593650364
269,10.72,0.98,0.028,0.632,0.519,0.01,-0.058,0.2029909142414842,26.206869328479552,20.840585404445886
270,10.76,0.98,0.057,0.625,0.519,-0.001,-0.066,0.2081510171341701,28.50157890363269,21.335416564951387
271,10.8,0.98,0.038,0.627,0.492,-0.034,-0.069,0.1928816994939712,27.14719138327207,20.662042493422593
272,10.84,0.98,-0.016,0.606,0.469,-0.055,-0.064,0.1975422131364098,22.663847863944042,22.564130827488125
273,10.88,0.98,-0.072,0.541,0.447,-0.072,-0.053,0.22741956404431396,25.612496949731415,20.024984394500787
275,10.96,0.88,0.133,0.499,0.413,-0.076,-0.025,0.22469675517123006,27.472895733795497,23.70189865812446
276,11.0,0.88,0.15,0.469,0.415,-0.084,-0.013,0.22887876976884064,25.8094943770698,23.44184293096426
277,11.04,0.88,0.133,0.483,0.425,-0.083,0.001,0.23967745128638848,26.706740722147327,21.783020910792015
278,11.08,0.88,0.141,0.497,0.429,-0.087,0.008,0.2521073281086339,27.118443908159648,24.418230894149517
279,11.12,0.88,0.163,0.492,0.432,-0.093,0.019,0.25342301055348115,26.20171750095788,25.19622987670975
280,11.16,0.88,0.167,0.496,0.449,-0.105,0.031,0.2675726246109176,26.200763347658448,25.486663179004122
281,11.2,0.98,0.165,0.487,0.457,-0.109,0.037,0.26500469192148646,26.601691675530734,29.113914199227857
282,11.24,0.88,0.144,0.502,0.486,-0.112,0.044,0.2714218366769358,26.512072721686625,23.305364189387884
283,11.28,0.88,0.143,0.531,0.501,-0.128,0.054,0.2753666290328992,25.728000310945315,22.707928130941337
285,11.36,0.98,0.2,0.499,0.515,-0.179,0.114,0.24917956416844816,25.23350946658028,25.622255950637914
286,11.4,0.98,0.176,0.478,0.482,-0.234,0.18,0.3108761097632091,24.1033192734944,27.05586812504819
287,11.44,0.82,0.342,0.551,0.531,-0.302,0.241,0.3545996914369075,22.557482128996398,24.472433471152755
288,11.48,0.98,0.389,0.452,0.275,-0.526,0.063,0.3383289323040851,13.908630414242847,24.593088459971856
299,11.92,0.98,0.374,0.544,0.345,-0.531,0.106,0.2890521187070432,13.000384609695207,19.990247622278225
300,11.96,0.88,0.314,0.518,0.243,-0.462,0.041,0.21276488442275804,17.19447585708866,21.752471123989654
303,12.08,0.98,0.015,0.447,0.091,-0.127,0.083,0.1760154826492309,19.375241933973292,23.31051264987533
304,12.12,0.98,0.05,0.456,0.102,-0.117,0.079,0.18195102175813102,19.28419041598577,23.207757323791476
305,12.16,0.98,0.06,0.471,0.104,-0.127,0.072,0.18826388597982757,21.879899451322945,20.600242717016734
306,12.2,0.98,0.029,0.506,0.136,-0.142,0.071,0.1763135378825128,20.605096456944803,25.20495982936685
307,12.24,0.98,0.024,0.526,0.161,-0.15,0.069,0.15921828001589533,20.616740770548528,24.6203168135587
308,12.28,0.98,0.066,0.508,0.169,-0.155,0.061,0.19471898794149323,20.64751801064721,27.801618657912663
309,12.32,0.98,0.061,0.474,0.153,-0.159,0.054,0.17960948762058665,28.304946564160858,20.500975586542218
310,12.36,0.98,0.152,0.358,0.162,-0.161,0.051,0.24634723752687057,21.91848534912949,22.842942017174536
311,12.4,0.98,0.17,0.352,0.174,-0.174,0.044,0.2573477579691849,24.534465553584003,21.32346125749764
312,12.44,0.88,0.151,0.342,0.158,-0.162,0.038,0.27138917353611236,25.911387458027093,21.827734651126715
313,12.48,0.88,0.154,0.346,0.183,-0.162,0.038,0.2786410414850027,26.842503609015335,23.768256141332753
314,12.52,0.88,0.15,0.366,0.193,-0.168,0.041,0.27193699777899316,27.089665926326937,22.62211307548437
315,12.56,0.88,0.158,0.364,0.186,-0.163,0.04,0.2863896372088317,25.68774026651624,25.13364279208251
316,12.6,0.88,0.158,0.361,0.202,-0.156,0.041,0.2736630925200094,25.675864152935535,29.93275797516825
318,12.68,0.88,0.151,0.382,0.221,-0.151,0.052,0.27154589475983815,26.407006645964184,28.750304346215234
319,12.72,0.88,0.138,0.391,0.24,-0.151,0.062,0.2896785947524117,26.1725046566048,22.090722034374522
320,12.76,0.88,0.151,0.398,0.268,-0.149,0.07,0.28585825211234783,26.89014689435514,21.991134577370012
321,12.8,0.88,0.154,0.437,0.288,-0.145,0.076,0.2769885457368984,26.537709019431176,25.41357904743049
324,12.92,0.88,0.149,0.453,0.317,-0.151,0.082,0.28885696673981276,26.055517649818434,21.552262062252307
325,12.96,0.88,0.115,0.528,0.311,-0.146,0.074,0.2719086268378763,25.79399154842077,27.215069355046573
326,13.0,0.88,0.104,0.504,0.318,-0.138,0.068,0.2819955946422169,27.006850982667437,27.574807342935305
327,13.04,0.93,0.101,0.517,0.34,-0.128,0.062,0.2797020844043582,27.006850982667324,27.894981627525834
328,13.08,0.93,0.102,0.548,0.361,-0.138,0.069,0.2773677414950772,26.89014689435514,27.78488797889963
329,13.12,0.93,0.1,0.54,0.365,-0.135,0.064,0.2797391966095973,26.03017479772271,28.39242856819406
330,13.16,0.93,0.095,0.547,0.36,-0.136,0.065,0.27406478697857084,25.59472601924076,27.961401967712632
331,13.2,0.98,0.111,0.563,0.383,-0.133,0.073,0.2869669662859868,27.28882555186273,28.458566372886693
332,13.24,0.93,0.083,0.549,0.374,-0.136,0.067,0.2681477694265118,25.88532402733262,28.259688604087646
333,13.28,0.93,0.103,0.579,0.388,-0.135,0.07,0.257122057335716,27.553039759707076,27.652486325826107
334,13.32,0.93,0.048,0.56,0.374,-0.141,0.069,0.251962637408052,27.14479692316743,26.428204630659224
335,13.36,0.98,0.059,0.545,0.381,-0.134,0.07,0.24538911899611274,27.124896313165884,25.377943179067966
336,13.4,0.98,0.034,0.555,0.37,-0.122,0.067,0.25989533069481535,27.181243532995346,26.292204167775708
337,13.44,0.93,0.037,0.572,0.384,-0.13,0.075,0.23886525188784907,27.66532125242722,25.79922479455538
338,13.48,0.88,0.046,0.556,0.397,-0.13,0.075,0.24651571579547513,27.6956675312223,26.644323973409403
339,13.52,0.93,0.043,0.558,0.37,-0.131,0.076,0.21559734294312788,27.002407300090812,26.649202614712465
340,13.56,0.93,0.038,0.598,0.381,-0.14,0.079,0.23089811791429946,26.70805122055896,26.295436866498246
341,13.6,0.88,0.023,0.571,0.378,-0.131,0.075,0.24205409781853637,27.04736586065268,26.717222909576535
342,13.64,0.98,0.027,0.563,0.393,-0.132,0.079,0.23850285314437303,27.532707821788954,26.242903802742607
343,13.68,0.98,0.029,0.534,0.385,-0.145,0.085,0.20344879417095,27.89498162752572,26.680704638371157
344,13.72,0.98,0.064,0.598,0.388,-0.142,0.083,0.23237942013527846,28.030340704315364,29.567718883945037
345,13.76,0.98,0.074,0.617,0.393,-0.139,0.083,0.22479053443721395,28.328960446864198,29.27541630788529
346,13.8,0.98,0.131,0.616,0.403,-0.146,0.093,0.22574385174111128,26.16199533674745,29.17601754866486
347,13.84,0.98,0.142,0.602,0.397,-0.158,0.095,0.2475956819439918,25.831182706178915,28.99137802864854
348,13.88,0.98,0.132,0.606,0.421,-0.144,0.101,0.24150776869349821,26.80914023239096,28.717938644686786
349,13.92,0.98,0.159,0.614,0.425,-0.136,0.1,0.2568350569393326,26.79888057363595,28.983616061492487
350,13.96,0.98,0.177,0.62,0.449,-0.147,0.11,0.2591756910115225,26.468282906150122,29.667490625261877
351,14.0,0.98,0.169,0.581,0.412,-0.145,0.103,0.25165142918897904,26.000769219390413,28.07863956818421
352,14.04,0.98,0.156,0.591,0.422,-0.146,0.109,0.2535657067090276,26.300190113381262,28.501228043717678
353,14.08,0.98,0.18,0.584,0.438,-0.152,0.113,0.24565712552754032,25.104979585731616,28.58478616327224
354,14.12,0.98,0.163,0.56,0.419,-0.163,0.111,0.24079831849063166,25.107170290576377,28.668100739323492
355,14.16,0.98,0.145,0.577,0.414,-0.148,0.101,0.25221455064204923,26.459402865522073,29.04513728664402
356,14.2,0.98,0.133,0.57,0.41,-0.142,0.096,0.24325556506944473,26.00192300580872,28.7179386446869
357,14.24,0.88,0.155,0.537,0.422,-0.141,0.097,0.2543315908626916,26.40681730159844,29.482198018465287
358,14.28,0.88,0.154,0.53,0.42,-0.141,0.097,0.27640414148406206,25.512545933324645,26.261759270848486
359,14.32,0.88,0.151,0.549,0.434,-0.147,0.104,0.2632506225060162,26.700187265260826,27.446675572826642
360,14.36,0.88,0.15,0.545,0.428,-0.146,0.105,0.2657441576278078,26.700187265260826,27.459060435492052
361,14.4,0.88,0.18,0.552,0.424,-0.149,0.104,0.287469616097884,25.30968194189721,28.592656399852043
362,14.44,0.88,0.156,0.55,0.429,-0.148,0.104,0.2805908287336336,25.912352266824385,28.877846180073792
363,14.48,0.88,0.172,0.576,0.445,-0.154,0.106,0.2662563662666202,26.276224995231,27.851391347650768
364,14.52,0.98,0.096,0.587,0.413,-0.154,0.097,0.23864972866451795,26.915051551130247,28.100711734758562
365,14.56,0.98,0.118,0.602,0.417,-0.145,0.094,0.24646514880531256,27.31464808486458,28.999482754007854
366,14.6,0.98,0.069,0.567,0.407,-0.138,0.092,0.2550790743656154,26.91858094328163,27.879203718901255
367,14.64,0.88,0.083,0.582,0.395,-0.138,0.089,0.2819750867425991,26.860379744151118,28.19397098671986
368,14.68,0.88,0.075,0.586,0.405,-0.132,0.086,0.28509346161748494,26.718720029223,27.8718495977573
369,14.72,0.98,0.084,0.595,0.403,-0.138,0.093,0.28128680204602224,26.015572259706303,27.978920636793667
370,14.76,0.98,0.077,0.606,0.403,-0.131,0.091,0.2722576946595749,26.468282906150236,28.319604517012635
371,14.8,0.88,0.081,0.605,0.414,-0.126,0.088,0.28562054482532606,26.660832695172918,27.97892063679378
372,14.84,0.98,0.1,0.605,0.398,-0.125,0.085,0.25671616405798336,25.632206303788987,27.124896313165877
373,14.88,0.98,0.084,0.59,0.392,-0.113,0.081,0.2638970519290532,25.515877409957902,27.480356620684507
374,14.92,0.98,0.105,0.612,0.399,-0.117,0.084,0.26509529760586703,26.36854186336445,27.87920371890125
375,14.96,0.98,0.115,0.627,0.403,-0.129,0.085,0.2623529410020994,25.563450471327222,28.439585088393937
376,15.0,0.98,0.118,0.597,0.416,-0.123,0.085,0.2748548556282436,25.413579047430602,26.5228203628498
377,15.04,0.98,0.118,0.603,0.422,-0.117,0.08,0.2848250840895112,25.799224794555386,28.270479302622398
378,15.08,0.98,0.114,0.619,0.424,-0.125,0.082,0.25947966376910236,26.201145013147826,27.563744302978844
379,15.12,0.98,0.119,0.612,0.418,-0.125,0.08,0.25977075806503325,25.52273496316566,27.712993342473872
380,15.16,0.98,0.141,0.62,0.4,-0.127,0.08,0.2607444522252249,25.463699652642756,27.695667531222302
381,15.2,0.88,0.105,0.588,0.385,-0.131,0.08,0.2405819730965823,24.51652503924649,27.679776010654447
382,15.24,0.88,0.129,0.602,0.384,-0.13,0.085,0.2549340422777089,23.407691043757367,27.18915224864507
383,15.28,0.88,0.158,0.566,0.381,-0.137,0.083,0.25339431433267134,24.10746772267882,27.746170906991765
384,15.32,0.88,0.129,0.604,0.369,-0.136,0.077,0.2005490585881135,26.00307674103201,23.500212764994277
385,15.36,0.98,0.056,0.69,0.427,-0.128,0.076,0.15407134923652693,21.284971223847144,27.280212609142175
386,15.4,0.98,0.027,0.728,0.426,-0.125,0.075,0.14385021128501774,20.902152999153024,27.439023306232954
387,15.44,0.98,0.056,0.689,0.409,-0.14,0.075,0.16995683751464952,17.880995498014045,26.575364531836623
388,15.48,0.98,0.078,0.661,0.39,-0.149,0.069,0.2035465029977736,26.299999999999955,21.64532282041552
389,15.52,0.93,0.189,0.54,0.402,-0.148,0.068,0.24886298412223054,23.005434140654682,27.911467177488156
390,15.56,0.93,0.184,0.537,0.371,-0.151,0.063,0.2601055642092243,25.992498917957104,28.933890163612723
391,15.6,0.93,0.215,0.518,0.385,-0.155,0.061,0.2648991027372072,24.816325271885106,28.663042406555544
392,15.64,0.88,0.211,0.533,0.415,-0.164,0.069,0.28845960503364787,24.403278468271406,28.81735588148221
393,15.68,0.93,0.207,0.542,0.418,-0.168,0.07,0.2828675964198615,25.25727617935082,28.121522007174526
394,15.72,0.93,0.208,0.564,0.455,-0.166,0.081,0.29928605982445367,25.79399154842077,28.334607814473053
395,15.76,0.93,0.206,0.555,0.44,-0.162,0.078,0.28879385070943275,25.287348615463866,29.398129192178157
396,15.8,0.93,0.216,0.574,0.449,-0.167,0.087,0.29895534794392364,25.885324027332505,29.461330587738207
397,15.84,0.98,0.216,0.558,0.449,-0.173,0.09,0.29966982245641627,25.47096386083571,29.29044212708307
398,15.88,0.93,0.224,0.567,0.445,-0.172,0.103,0.2979641378033986,25.07209604321107,29.497796527876545
405,16.16,0.88,0.189,0.513,0.413,-0.161,0.09,0.29976320327379413,26.82256512714628,27.480356620684503
409,16.32,0.88,0.235,0.524,0.42,-0.171,0.097,0.29260574095148806,25.843567865138194,29.36153946917641
411,16.4,0.88,0.233,0.519,0.419,-0.167,0.093,0.29589532030237475,25.444252789185985,29.713969778540214
412,16.44,0.88,0.233,0.522,0.419,-0.164,0.093,0.31032395078554587,25.238858928247968,28.700522643324827
413,16.48,0.88,0.206,0.496,0.404,-0.167,0.087,0.3122532046949981,25.61581542719254,24.6203168135587
414,16.52,0.88,0.243,0.518,0.427,-0.169,0.096,0.32080045958737313,24.459149617270107,29.774149861918744
415,16.56,0.93,0.247,0.522,0.424,-0.17,0.092,0.3010509789875324,24.957964660604816,29.497796527876424
416,16.6,0.93,0.208,0.485,0.409,-0.168,0.088,0.31129491060565967,25.95573154430452,23.63577796477199
417,16.64,0.88,0.219,0.514,0.411,-0.165,0.089,0.3078741853718655,25.728000310945202,27.10645679538364
419,16.72,0.88,0.195,0.533,0.404,-0.165,0.085,0.29815690305154086,26.637192044207666,28.086295590554478
421,16.8,0.88,0.189,0.505,0.411,-0.163,0.083,0.30245447866089714,25.97710530447915,29.83286778035255
422,16.84,0.93,0.212,0.546,0.424,-0.167,0.085,0.300177314359955,25.77770354395446,29.805033132006344
424,16.92,0.88,0.174,0.523,0.42,-0.169,0.077,0.3030027898808417,25.852079220054943,23.131147831441503
425,16.96,0.88,0.186,0.523,0.402,-0.167,0.076,0.29958523205415505,25.962472917655564,23.960383970212142
