frame,timestamp,confidence,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,EAR,Pupil_Scale (Left),Pupil_Scale (Right)
1,0.0,0.98,0.246,0.389,0.103,-0.33,0.002,0.14989078297350325,14.212670403551938,28.584786163272234
2,0.04,0.98,0.262,0.369,0.085,-0.332,-0.023,0.1220937994262361,13.413426109685636,23.784238478454636
3,0.08,0.98,0.226,0.361,0.068,-0.329,-0.04,0.1302664757583123,13.61800279042429,26.119915773217954
4,0.12,0.98,0.216,0.338,0.046,-0.324,-0.049,0.13892117195199588,14.117365193264552,26.531867631209074
5,0.16,0.98,0.217,0.329,0.04,-0.311,-0.055,0.12791261780607535,16.842802617141796,23.68459414893996
6,0.2,0.98,0.207,0.337,0.049,-0.32,-0.059,0.13154937144950898,13.324038426843602,26.726765610526115
7,0.24,0.98,0.217,0.342,0.033,-0.315,-0.061,0.13589752125135826,14.605478424207954,24.60772236514383
8,0.28,0.98,0.221,0.386,0.036,-0.315,-0.062,0.13407871442541208,18.780841301709483,24.580073230159368
9,0.32,0.98,0.304,0.359,0.061,-0.332,-0.058,0.09027007444593381,14.05133445620023,28.212408617486044
10,0.36,0.98,0.218,0.365,0.055,-0.326,-0.057,0.10027933850928171,18.408965207202666,23.595126615468747
11,0.4,0.98,0.214,0.387,0.035,-0.312,-0.058,0.11991113950838159,18.794946129212402,23.91505801791002
12,0.44,0.98,0.239,0.367,0.032,-0.302,-0.064,0.14252937672706542,18.66869036649322,26.915608854343276
13,0.48,0.98,0.218,0.361,0.026,-0.31,-0.063,0.14822502335112664,14.02283851436648,26.54806960967227
14,0.52,0.98,0.199,0.31,0.018,-0.3,-0.066,0.14525165743474683,13.805795884338034,27.65248632582612
15,0.56,0.98,0.214,0.332,0.02,-0.291,-0.067,0.1405080972578882,17.5410946066658,25.456826196523377
16,0.6,0.98,0.196,0.362,0.021,-0.29,-0.067,0.1423025748290735,18.959430371190045,26.129676614914317
17,0.64,0.98,0.219,0.37,0.019,-0.301,-0.064,0.1571490958867142,17.02380685980665,25.578311124857326
18,0.68,0.98,0.171,0.375,0.012,-0.288,-0.067,0.14013060785633227,14.940548852033608,27.373162038756202
19,0.72,0.98,0.19,0.368,0.016,-0.29,-0.068,0.1514014662412569,15.36391877093858,26.10153252205701
20,0.76,0.98,0.192,0.352,0.017,-0.299,-0.064,0.14474869144089436,14.70306090581146,26.2291822213351
21,0.8,0.98,0.199,0.35,0.016,-0.297,-0.065,0.15727896676206676,15.515798400340218,25.99326835932716
