frame,timestamp,confidence,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,EAR,Pupil_Scale (Left),Pupil_Scale (Right)
1,0.0,0.98,0.011,0.28,0.132,-0.115,0.09,0.23919581014815272,19.337269714207284,18.40000000000009
2,0.04,0.98,-0.003,0.258,0.144,-0.097,0.075,0.267730489235288,17.81375872745554,19.716236963477634
3,0.08,0.98,0.017,0.226,0.16,-0.099,0.08,0.2856318827495366,17.507141400011598,20.248456731316516
4,0.12,0.98,0.021,0.22,0.147,-0.093,0.077,0.283640587099656,18.106904760339493,20.41568024827973
5,0.16,0.98,0.02,0.205,0.126,-0.084,0.074,0.27998191232217995,18.909521411183174,20.91936901534076
6,0.2,0.98,0.019,0.194,0.119,-0.079,0.071,0.2924440275483863,19.306475597581425,20.619650821485823
7,0.24,0.98,0.01,0.179,0.109,-0.068,0.067,0.2990114877380955,20.60218435020899,20.903827400741804
8,0.28,0.98,0.005,0.18,0.109,-0.061,0.065,0.3046881827064499,21.20377324911776,20.606067067735193
9,0.32,0.98,0.004,0.166,0.106,-0.053,0.062,0.3052142970971782,22.10814329607975,20.711832367031217
10,0.36,0.98,-0.003,0.163,0.098,-0.049,0.061,0.31720764798464685,22.214409737825626,19.906280415989297
11,0.4,0.98,-0.003,0.158,0.09,-0.048,0.059,0.33051732142276347,22.610838109189935,19.906280415989414
12,0.44,0.98,-0.005,0.167,0.084,-0.048,0.058,0.33788425078209017,22.21103329428872,19.509228585466932
13,0.48,0.98,0.005,0.162,0.08,-0.041,0.057,0.3404621898120539,21.319005605327796,19.012890364171355
14,0.52,0.98,0.005,0.17,0.08,-0.034,0.06,0.33997030532757777,21.040199618824914,19.31657319505721
15,0.56,0.98,-0.0,0.17,0.084,-0.018,0.062,0.3396950506892302,20.84706214314137,18.821530224718668
16,0.6,0.98,-0.006,0.189,0.109,0.007,0.062,0.34443470191817815,22.316361710637246,18.10690476033938
17,0.64,0.98,-0.082,0.239,0.126,0.049,0.053,0.2966443107715848,22.01022489662484,20.902152999152957
18,0.68,0.98,-0.137,0.26,0.143,0.087,0.044,0.29964336654091916,22.70792813094145,20.124860247961994
19,0.72,0.98,-0.143,0.278,0.146,0.155,0.042,0.319082785413737,20.70386437358971,19.536888186197924
20,0.76,0.98,-0.159,0.276,0.156,0.187,0.046,0.3346213822622385,19.004210059878837,18.97630100941696
21,0.8,0.98,-0.171,0.283,0.163,0.203,0.045,0.34308985696031535,20.702173798903388,17.954665131937247
22,0.84,0.98,-0.199,0.254,0.153,0.18,0.045,0.3375604026425536,24.80503981049008,17.564168070250297
23,0.88,0.98,-0.189,0.276,0.178,0.212,0.039,0.3201219651906377,25.119912420229518,18.70721785835619
24,0.92,0.98,-0.14,0.421,0.196,0.182,0.042,0.2284495326450356,19.812369873389773,18.299999999999955
25,0.96,0.98,-0.045,0.474,0.152,0.084,0.047,0.18880560538617308,18.402445489662487,19.00026315607234
26,1.0,0.98,0.017,0.465,0.127,0.012,0.044,0.1514605880643053,20.319448811422077,20.64097865896869
27,1.04,0.98,0.052,0.435,0.102,-0.067,0.063,0.13935619804906235,19.12119243143572,22.02271554554524
28,1.08,0.98,0.128,0.443,0.129,-0.221,0.064,0.14328187808887838,18.034688796871297,17.194475857088545
29,1.12,0.98,0.106,0.478,0.155,-0.27,0.084,0.1161850267003962,20.769448716805034,17.85497129653258
30,1.16,0.98,0.13,0.492,0.191,-0.309,0.106,0.1274770978858535,17.130382365843534,18.11767093199335
31,1.2,0.98,0.149,0.507,0.226,-0.332,0.135,0.11392010820197347,16.87157372624125,15.63873396410327
32,1.24,0.98,0.125,0.508,0.252,-0.339,0.16,0.13418334530706683,12.21883791528466,17.707060738586787
33,1.28,0.98,0.138,0.454,0.267,-0.346,0.181,0.20160411389780322,11.684177335182955,14.80304022827739
34,1.32,0.98,0.14,0.442,0.265,-0.351,0.193,0.216207891187645,11.89495691459218,16.50272704737008
35,1.36,0.98,0.163,0.435,0.275,-0.368,0.204,0.22125843830872616,11.871394189394893,13.709121051329339
36,1.4,0.98,0.179,0.448,0.29,-0.367,0.209,0.2254107024098015,11.535163631262462,13.71787155501907
37,1.44,0.98,0.179,0.463,0.304,-0.371,0.218,0.22555649437853628,11.515641536623134,14.1031911282517
38,1.48,0.98,0.183,0.458,0.31,-0.378,0.23,0.22074704495472955,10.907336980216668,15.508062419270823
39,1.52,0.98,0.178,0.46,0.319,-0.38,0.237,0.21981434683286052,11.8004237212059,13.505924625881782
40,1.56,0.98,0.192,0.442,0.299,-0.385,0.235,0.23192824708604426,11.799999999999955,13.324038426843597
41,1.6,0.98,0.174,0.449,0.302,-0.371,0.236,0.2245347797101014,12.001666550942,13.109538512091019
42,1.64,0.98,0.158,0.461,0.317,-0.36,0.232,0.21936937306563253,11.70042734262305,12.700393694685035
