frame,timestamp,confidence,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,EAR,Pupil_Scale (Left),Pupil_Scale (Right)
1,0.0,0.98,0.113,0.328,0.08,-0.138,0.033,0.1551437604398339,21.123683390924057,17.11052307791895
2,0.04,0.98,0.087,0.311,0.08,-0.137,0.033,0.14719737254995857,22.30358715543316,23.448027635602934
3,0.08,0.98,0.13,0.338,0.079,-0.139,0.034,0.14693954493817057,18.638669480410904,21.140009460735843
4,0.12,0.98,0.092,0.282,0.094,-0.135,0.038,0.1981089574322824,21.53346233191495,18.3043710626725
5,0.16,0.98,0.099,0.289,0.096,-0.134,0.036,0.19787121385305265,20.108953229842694,18.10248601711933
6,0.2,0.98,0.094,0.277,0.097,-0.131,0.036,0.2036506670893416,21.40023364358434,18.404347312523722
7,0.24,0.98,0.102,0.287,0.096,-0.128,0.033,0.19666037964644528,20.700241544484495,19.199999999999932
8,0.28,0.98,0.108,0.289,0.09,-0.125,0.03,0.20078214370128242,21.005951537600005,18.706683297688066
9,0.32,0.98,0.103,0.296,0.084,-0.118,0.025,0.1926173663638678,18.802393464662906,18.604300578092175
10,0.36,0.98,0.113,0.432,0.071,-0.104,0.027,0.151541822545612,21.700921639414236,19.312690128514014
11,0.4,0.98,0.074,0.438,0.064,-0.084,0.028,0.15338310117715545,21.911184358678536,19.10654338178418
12,0.44,0.98,-0.022,0.36,0.056,-0.057,0.03,0.18937719334525,19.920341362536913,22.87902969970543
13,0.48,0.98,-0.064,0.239,0.062,-0.016,0.039,0.2024719341879635,16.901183390520412,25.456826196523377
14,0.52,0.98,-0.095,0.274,0.068,0.024,0.051,0.1633721167122386,18.899999999999977,22.963013739489835
15,0.56,0.98,-0.125,0.27,0.072,0.071,0.074,0.20551821270282306,17.871765441612038,22.364704335179532
16,0.6,0.98,-0.164,0.246,0.058,0.064,0.114,0.20542671686570596,18.508376482014818,21.992044015961838
17,0.64,0.98,-0.17,0.246,0.056,0.067,0.136,0.21150709525198633,18.681809334216002,19.99124808509968
18,0.68,0.98,-0.174,0.253,0.051,0.071,0.142,0.19757532107557974,17.083910559353768,18.67029726597834
19,0.72,0.98,-0.198,0.242,0.045,0.06,0.142,0.18538352273621006,19.362076334938806,19.773214205080528
20,0.76,0.98,-0.171,0.236,0.049,0.071,0.139,0.18964268752121766,20.120636172845032,19.037857022259576
21,0.8,0.98,-0.166,0.244,0.049,0.065,0.138,0.2002003652757525,18.279223178242603,18.577674773770877
22,0.84,0.98,-0.173,0.239,0.05,0.063,0.135,0.20742603377693125,17.04230031421815,18.642961138188298
23,0.88,0.98,-0.154,0.244,0.05,0.055,0.131,0.19901636024925612,19.437077969694908,18.315294155431868
24,0.92,0.98,-0.157,0.243,0.049,0.046,0.128,0.1976137574052722,19.757024067404416,18.166452598127112
25,0.96,0.98,-0.134,0.228,0.057,0.052,0.125,0.22516388485459007,20.740781084616778,20.008498194517294
26,1.0,0.98,-0.124,0.291,0.039,0.052,0.124,0.23007513823030423,25.50000000000005,18.582787734890672
27,1.04,0.98,-0.055,0.414,0.039,0.066,0.122,0.18458967993296102,19.30414463269484,18.85974549138981
28,1.08,0.98,-0.04,0.432,0.037,0.037,0.121,0.1756267662995087,17.76288264893952,20.24845673131663
29,1.12,0.98,0.008,0.417,0.039,-0.002,0.107,0.18521924187792815,21.38457387931773,17.149344010777806
30,1.16,0.98,0.031,0.393,0.058,-0.003,0.067,0.22039123822441498,29.520501350756224,18.30245885120353
31,1.2,0.98,0.044,0.291,0.073,-0.01,0.048,0.25267307133581907,22.003636063160105,16.269296235547543
32,1.24,0.98,0.089,0.278,0.092,-0.017,0.04,0.23068199571612547,20.4244950977986,18.04688338744394
33,1.28,0.98,0.091,0.246,0.087,-0.036,0.034,0.24534259968647418,19.32097306038189,16.215116404145785
34,1.32,0.98,0.116,0.226,0.087,-0.053,0.029,0.242661219319857,20.5,15.807909412695865
35,1.36,0.98,0.115,0.225,0.09,-0.06,0.026,0.244301897095108,19.920341362536913,16.01530517973354
36,1.4,0.98,0.111,0.225,0.092,-0.066,0.024,0.24591292549267108,19.830532015051897,16.914490828872125
37,1.44,0.98,0.105,0.222,0.085,-0.074,0.022,0.2405578113476654,19.212756179163815,16.819036833302864
38,1.48,0.98,0.103,0.227,0.087,-0.073,0.02,0.23933137928180898,19.309324172533803,16.125135658344107
39,1.52,0.98,0.09,0.227,0.087,-0.074,0.02,0.251231194742356,19.916073910286613,16.2111073033276
40,1.56,0.98,0.091,0.227,0.089,-0.075,0.018,0.2527940183009974,20.21583537724825,16.311039206623178
41,1.6,0.98,0.085,0.234,0.092,-0.078,0.019,0.24453715863879666,20.130076999355985,17.029386365926403
42,1.64,0.98,0.082,0.262,0.09,-0.081,0.019,0.22887255065479284,19.864541273334204,16.10776210402925
43,1.68,0.98,0.093,0.248,0.089,-0.082,0.019,0.237408592781223,19.550191814915777,17.307223925286294
44,1.72,0.98,0.089,0.281,0.082,-0.087,0.02,0.1901389593326123,19.806312125178636,17.913681921927697
45,1.76,0.98,0.013,0.282,0.074,-0.082,0.023,0.23277061065877586,16.037767924496226,17.42871194322745
46,1.8,0.98,-0.008,0.29,0.073,-0.07,0.022,0.21134457073722546,17.902513789968133,19.075901027212318
47,1.84,0.98,-0.016,0.296,0.072,-0.05,0.024,0.2083317575924336,18.5024322725419,18.569060288555256
48,1.88,0.98,-0.032,0.304,0.083,-0.028,0.025,0.18925575440197334,18.104419349981836,19.881649830937025
49,1.92,0.98,-0.021,0.331,0.079,-0.018,0.024,0.18657888677852782,18.931983519959,17.990275150758507
50,1.96,0.98,-0.057,0.319,0.083,-0.007,0.024,0.18160033393607394,18.21757393288145,19.983242980057028
51,2.0,0.98,-0.044,0.335,0.084,-0.001,0.02,0.1744415682343894,18.413310403075247,19.843638779215897
52,2.04,0.98,-0.049,0.31,0.074,-0.001,0.018,0.1852213441600204,21.200235847744644,19.92711720244556
53,2.08,0.98,-0.048,0.318,0.086,0.004,0.014,0.18962345061053054,22.60088493842666,19.150979087242515
