frame,timestamp,confidence,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,EAR,Pupil_Scale (Left),Pupil_Scale (Right)
1,0.0,0.88,0.392,0.478,0.239,-0.466,0.154,0.21436994544540694,15.208221460775793,24.758432906789604
2,0.04,0.98,0.359,0.458,0.252,-0.48,0.16,0.22345877940385406,15.601281998605023,25.500196077677522
3,0.08,0.88,0.363,0.461,0.264,-0.512,0.169,0.24454862138251787,14.899999999999977,24.21672975444872
4,0.12,0.88,0.358,0.461,0.289,-0.523,0.181,0.24407759493974734,13.430189872075614,25.70953130650192
5,0.16,0.88,0.374,0.454,0.264,-0.494,0.175,0.23159173485722725,13.400373129133474,24.712952069714305
6,0.2,0.88,0.365,0.474,0.253,-0.446,0.17,0.1770161171173824,15.30522786501392,25.74198904513792
7,0.24,0.98,0.3,0.496,0.267,-0.391,0.169,0.11263015954848604,14.308738588708604,24.92889889265065
8,0.28,0.98,0.317,0.481,0.22,-0.397,0.167,0.16318318625277017,16.004999218994044,22.426992665090076
9,0.32,0.93,0.311,0.497,0.241,-0.404,0.166,0.15627120656582727,15.725775020646887,25.338705570727125
10,0.36,0.88,0.285,0.502,0.276,-0.406,0.169,0.15375799891863023,15.911316727411434,26.531867631209074
11,0.4,0.93,0.283,0.473,0.282,-0.417,0.171,0.10519255327825218,14.708500943331988,24.410038918444982
12,0.44,0.88,0.269,0.466,0.279,-0.409,0.171,0.2171099281484366,18.154062906137476,25.234302050978172
13,0.48,0.93,0.206,0.379,0.259,-0.407,0.167,0.2325751380896554,17.81796845883386,14.12267680009709
14,0.52,0.93,0.211,0.405,0.253,-0.415,0.162,0.16398716152416548,16.10776210402925,17.500285711953392
15,0.56,0.93,0.209,0.444,0.271,-0.439,0.157,0.16679804850873936,16.00781059358212,15.526107045875994
16,0.6,0.88,0.244,0.395,0.253,-0.46,0.15,0.20624287225048238,15.273833834371707,15.602884348734921
17,0.64,0.88,0.287,0.369,0.244,-0.491,0.154,0.2538767020011003,16.800297616411395,14.000357138301865
18,0.68,0.88,0.314,0.388,0.242,-0.48,0.147,0.2591105351136087,18.01776900728833,16.36001222493426
19,0.72,0.88,0.401,0.441,0.247,-0.476,0.143,0.23772934601801549,15.62049935181333,20.14348529922267
20,0.76,0.88,0.371,0.445,0.265,-0.476,0.149,0.25065774467639945,15.316004700965658,22.28990803031715
21,0.8,0.88,0.361,0.442,0.277,-0.483,0.155,0.2501518423199697,15.311760186209765,26.184346468835177
22,0.84,0.88,0.329,0.396,0.268,-0.493,0.16,0.2572035286488451,14.52790418470595,17.142053552594
23,0.88,0.88,0.321,0.425,0.294,-0.474,0.167,0.24752724702655926,16.125135658344107,17.990275150758507
24,0.92,0.88,0.385,0.454,0.292,-0.46,0.169,0.24863651229045675,14.205632685663854,20.280532537386712
25,0.96,0.93,0.365,0.452,0.289,-0.447,0.167,0.2517398514249839,14.527904184706063,20.294087809014737
26,1.0,0.93,0.304,0.392,0.28,-0.444,0.161,0.24665093083117395,14.812157169028488,24.27385424690527
27,1.04,0.93,0.294,0.391,0.287,-0.46,0.167,0.2531341413942157,16.4246765569371,19.1637678967368
28,1.08,0.88,0.341,0.411,0.29,-0.448,0.164,0.24156946882347524,14.217243052012515,20.647518010647207
29,1.12,0.93,0.387,0.454,0.269,-0.439,0.159,0.23161966809105813,14.72175261305533,20.09004728715191
30,1.16,0.93,0.377,0.471,0.272,-0.421,0.152,0.21883879750244262,13.912943613772011,19.284190415985776
