frame,timestamp,confidence,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,EAR,Pupil_Scale (Left),Pupil_Scale (Right)
1,0.0,0.88,0.332,0.446,0.084,-0.465,-0.02,0.25292759692669575,17.59346469573307,24.719627828913517
2,0.04,0.88,0.423,0.44,0.06,-0.499,-0.047,0.3341082753272464,18.66038584810069,26.456946157861694
3,0.08,0.88,0.377,0.403,0.068,-0.47,-0.062,0.2709310406500859,18.63035158015007,26.94679943889444
4,0.12,0.98,0.389,0.401,0.052,-0.462,-0.075,0.27726621120067296,17.057549648176316,26.848649872945145
5,0.16,0.88,0.32,0.505,0.069,-0.418,-0.066,0.2110371085978766,14.541664278891878,27.673995013369478
6,0.2,0.88,0.353,0.522,0.112,-0.431,-0.055,0.21794529364205628,15.715279189375037,24.100622398602088
7,0.24,0.88,0.378,0.537,0.127,-0.437,-0.048,0.17853672662176534,15.184531602917401,25.684625751604898
8,0.28,0.93,0.415,0.501,0.137,-0.44,-0.05,0.20837641427100104,15.219066988485348,22.023850707812162
9,0.32,0.93,0.398,0.426,0.144,-0.433,-0.053,0.22310346244532703,15.231874474272603,19.6468827043885
10,0.36,0.93,0.413,0.422,0.139,-0.427,-0.058,0.23835997647279106,15.554099138169505,16.6379085224075
11,0.4,0.93,0.38,0.428,0.146,-0.431,-0.054,0.23846372757067083,16.029036153181476,21.73384457476404
12,0.44,0.93,0.375,0.433,0.139,-0.423,-0.06,0.23550819242901705,18.034688796871304,23.286262044390146
13,0.48,0.93,0.364,0.422,0.147,-0.425,-0.059,0.24875895883622895,16.654428840401668,23.16246964380105
14,0.52,0.93,0.356,0.395,0.135,-0.419,-0.064,0.2509086504332608,16.688319268278637,23.42007685726074
15,0.56,0.93,0.33,0.383,0.139,-0.427,-0.066,0.24712806495722794,17.66380479964608,21.772000367444406
16,0.6,0.93,0.361,0.393,0.132,-0.427,-0.068,0.2579879320192076,16.57467948408039,24.478766308782713
17,0.64,0.93,0.359,0.387,0.132,-0.422,-0.069,0.24328926755846497,16.178998732925344,24.041630560342615
18,0.68,0.93,0.336,0.361,0.128,-0.424,-0.07,0.25724176812038746,16.93074127142691,21.503488089144945
19,0.72,0.93,0.338,0.363,0.13,-0.412,-0.074,0.24750119645920482,16.719449751711334,22.624102192131364
20,0.76,0.93,0.347,0.367,0.13,-0.418,-0.07,0.25625962451867235,16.32298992219261,22.005681084665454
21,0.8,0.93,0.332,0.35,0.139,-0.419,-0.072,0.26234968430639477,15.913830462839515,19.396133635340856
22,0.84,0.93,0.409,0.386,0.135,-0.422,-0.067,0.26871367967362986,15.952429282087586,22.74840653760177
23,0.88,0.93,0.314,0.364,0.133,-0.406,-0.07,0.24671487550493265,17.21307642462556,19.35820239588378
24,0.92,0.93,0.336,0.361,0.137,-0.419,-0.066,0.25003173270708867,16.311039206623054,20.68477701112587
25,0.96,0.93,0.354,0.363,0.126,-0.413,-0.07,0.24716427347173725,16.44019464604972,22.217110523198137
26,1.0,0.93,0.345,0.362,0.129,-0.414,-0.072,0.2455851642305128,16.029036153181476,18.792551716038982
27,1.04,0.93,0.279,0.337,0.139,-0.416,-0.071,0.2627054913789561,16.308586695357896,17.853851125177425
28,1.08,0.93,0.364,0.349,0.134,-0.415,-0.07,0.25037813092118655,17.003823099526574,23.380547470065814
29,1.12,0.93,0.341,0.351,0.133,-0.41,-0.073,0.2542201842523606,17.317332358074083,19.96847515460306
30,1.16,0.93,0.381,0.38,0.137,-0.415,-0.069,0.26718645011237635,15.749603169604068,23.526155657055376
31,1.2,0.93,0.365,0.346,0.141,-0.416,-0.069,0.2644086454095547,14.74923726841494,23.711811402758816
32,1.24,0.93,0.342,0.358,0.145,-0.422,-0.065,0.2641829122261003,15.601602481796407,23.656288804459614
33,1.28,0.93,0.356,0.344,0.138,-0.419,-0.068,0.27403320660847136,15.885842753848605,22.280035906613865
34,1.32,0.93,0.339,0.347,0.142,-0.419,-0.068,0.2663748726696421,15.322206107476735,20.142740627829117
