frame,timestamp,confidence,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,EAR,Pupil_Scale (Left),Pupil_Scale (Right)
1,0.0,0.98,0.379,0.634,0.415,-0.403,0.208,0.2677374695093162,15.820240200452034,23.40534127074414
2,0.04,0.98,0.325,0.626,0.408,-0.389,0.203,0.2536709410863144,17.91368192192781,21.500232556881798
3,0.08,0.98,0.35,0.604,0.397,-0.38,0.206,0.24306993547193909,19.106543381784295,29.228924030829397
4,0.12,0.98,0.316,0.587,0.399,-0.393,0.208,0.25138281233362797,19.212756179163932,22.63735850314698
5,0.16,0.98,0.336,0.618,0.408,-0.4,0.214,0.25012793017715945,16.40274367293481,23.01390883791799
6,0.2,0.98,0.345,0.629,0.416,-0.402,0.212,0.2591065544798508,14.128694207179851,23.617154782064574
7,0.24,0.98,0.356,0.625,0.402,-0.395,0.208,0.25980001148389076,15.200328943809124,23.810291892372994
8,0.28,0.98,0.329,0.615,0.405,-0.394,0.208,0.2530143603323959,15.811388300842077,27.830379084734076
9,0.32,0.98,0.328,0.606,0.401,-0.382,0.203,0.2574651596735891,15.500322577288513,25.723530084341114
10,0.36,0.98,0.327,0.61,0.401,-0.384,0.205,0.2537739435194184,15.208221460775793,26.8315113253055
11,0.4,0.98,0.308,0.604,0.419,-0.391,0.208,0.24657034242101933,14.701360481261634,27.405291459862234
12,0.44,0.98,0.334,0.64,0.397,-0.371,0.199,0.2536835084322779,15.511608556174954,23.42135777447582
13,0.48,0.98,0.335,0.633,0.411,-0.382,0.206,0.25654969943718076,15.701273833673314,26.911893281595752
14,0.52,0.98,0.291,0.627,0.408,-0.377,0.203,0.2414201293494672,15.815498727514052,20.700966161027296
15,0.56,0.98,0.302,0.603,0.419,-0.386,0.208,0.25070156520940395,15.201315732527938,23.71033529918972
16,0.6,0.98,0.305,0.625,0.412,-0.377,0.204,0.2418020373653978,15.005332385522154,24.812899870833267
17,0.64,0.98,0.307,0.62,0.414,-0.39,0.209,0.2467344588375178,14.908386901338545,21.900913222968672
18,0.68,0.98,0.286,0.625,0.421,-0.388,0.211,0.24441786957372863,14.903019828209406,20.303940504246906
19,0.72,0.98,0.305,0.632,0.413,-0.377,0.205,0.23319858294761972,15.099999999999909,19.60102038160261
20,0.76,0.98,0.312,0.612,0.409,-0.378,0.204,0.23740796082715293,15.701273833673541,25.203174403237426
21,0.8,0.98,0.306,0.608,0.421,-0.387,0.208,0.2489643493033275,15.902829936838376,25.52371446322028
22,0.84,0.98,0.33,0.62,0.42,-0.383,0.205,0.2555139863448014,16.902662512160486,26.468282906150122
23,0.88,0.98,0.359,0.634,0.426,-0.387,0.206,0.24862611583085265,14.700340132119438,26.30475242232851
24,0.92,0.98,0.371,0.648,0.427,-0.393,0.207,0.2356056368570225,15.108275877809623,25.100199202396805
25,0.96,0.98,0.421,0.669,0.425,-0.393,0.208,0.23890138931350113,16.401219466856816,22.12261286557266
26,1.0,0.98,0.373,0.651,0.422,-0.387,0.208,0.2712935327452523,14.85698488927028,26.112257658042424
27,1.04,0.98,0.398,0.658,0.424,-0.383,0.208,0.2669855635633577,14.70034013211921,27.921676167450954
28,1.08,0.98,0.377,0.658,0.428,-0.389,0.208,0.2612246213202063,14.848568954616422,27.62191159206765
29,1.12,0.98,0.35,0.645,0.417,-0.379,0.205,0.26382611584225446,14.32236014070302,27.814564530116304
30,1.16,0.98,0.364,0.672,0.427,-0.388,0.206,0.2628063953508702,16.524527224704492,28.104448046528173
31,1.2,0.98,0.334,0.624,0.407,-0.375,0.201,0.25759683546660994,14.21267040355194,28.363709207365627
32,1.24,0.98,0.377,0.651,0.42,-0.384,0.205,0.2641262928586676,15.454772725601494,28.03016232560918
