frame,timestamp,confidence,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,EAR,Pupil_Scale (Left),Pupil_Scale (Right)
1,0.0,0.98,-0.026,0.503,0.149,0.015,-0.001,0.20620714226623976,17.80252791038392,25.30177859360874
2,0.04,0.98,-0.08,0.514,0.164,0.016,0.004,0.17232787902120517,16.00124995117569,25.94339993138919
3,0.08,0.98,-0.086,0.518,0.155,0.016,0.012,0.19502545552962378,19.016834647227704,25.00319979522621
4,0.12,0.98,-0.001,0.439,0.174,0.019,0.013,0.21197284735976377,18.606719216455023,19.925109786397755
5,0.16,0.98,-0.057,0.409,0.133,0.013,0.024,0.17734930899570933,19.20234360696636,19.50640920313116
6,0.2,0.98,-0.051,0.407,0.143,0.011,0.025,0.1806868520321532,19.900251254695345,17.50114281982751
7,0.24,0.98,-0.076,0.394,0.136,0.009,0.032,0.1934660832179976,19.63670033381386,20.135789033459712
8,0.28,0.98,-0.051,0.359,0.136,0.011,0.034,0.19779247594200258,21.70368632283447,21.200000000000045
9,0.32,0.98,-0.059,0.353,0.13,0.011,0.037,0.19021457097110822,21.605786262018004,20.402205763103254
10,0.36,0.98,-0.038,0.414,0.155,-0.0,0.037,0.20462599531871276,20.903827400741577,16.414932226481948
11,0.4,0.98,-0.058,0.38,0.145,0.006,0.039,0.2232152847886652,22.80197359879179,20.415680248279845
12,0.44,0.98,-0.022,0.374,0.154,0.002,0.04,0.218584176477837,24.712952069714195,20.40882162203403
13,0.48,0.98,-0.024,0.4,0.168,0.002,0.041,0.2414731136450182,23.500851048419502,19.70101520226795
14,0.52,0.98,-0.05,0.386,0.157,-0.001,0.043,0.20576933915284717,23.30085835328814,19.216659439142948
15,0.56,0.98,-0.046,0.406,0.166,0.008,0.039,0.23197744578176038,23.6008474424118,19.901004999747993
16,0.6,0.98,-0.051,0.413,0.172,0.001,0.042,0.20907737314142716,23.100000000000136,18.41331040307536
17,0.64,0.98,-0.032,0.426,0.165,0.007,0.045,0.183558254992769,22.70022026324837,19.204166214652304
18,0.68,0.98,-0.02,0.46,0.179,0.004,0.047,0.17877339453293867,19.10104709171716,16.700299398513835
19,0.72,0.98,-0.028,0.405,0.169,0.012,0.05,0.1793232712054157,19.20104163841123,16.607528413343058
20,0.76,0.98,-0.044,0.407,0.152,0.003,0.054,0.15392935318879314,19.216659439142717,19.806312125178636
21,0.8,0.98,-0.014,0.436,0.173,0.008,0.051,0.2032257109525035,19.900251254695117,17.300289014926843
