frame,timestamp,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,EAR,Pupil_Scale (Left),Pupil_Scale (Right)
1,0.0,0.243,0.362,0.288,-0.336,0.086,0.3168212277302812,20.40882162203403,18.31338308450949
2,0.04,0.0,0.0,0.437,-0.377,0.097,0.3212886251228305,23.05558500667463,22.84294201717454
3,0.08,0.387,0.568,0.531,-0.411,0.109,0.3265282415222023,17.2652830848496,17.04963342714441
4,0.12,0.342,0.557,0.566,-0.412,0.107,0.2943048237625031,18.07373785358201,17.383325343558475
5,0.16,0.34,0.532,0.56,-0.405,0.104,0.2973882729910692,13.732079230764635,16.93074127142691
6,0.2,0.343,0.54,0.559,-0.414,0.103,0.29646362751903976,14.439182802361037,16.498484778912136
7,0.24,0.376,0.534,0.559,-0.419,0.105,0.3249963699908725,13.16434578701135,15.504837954651311
8,0.28,0.417,0.595,0.584,-0.404,0.105,0.276886864820609,12.3794184031399,16.5529453572469
9,0.32,0.414,0.562,0.595,-0.412,0.112,0.2916971642124807,13.075167302944926,16.082288394379656
10,0.36,0.425,0.577,0.606,-0.418,0.112,0.32925489864585933,12.666885963014092,15.01366044640693
11,0.4,0.387,0.586,0.613,-0.418,0.124,0.34740950784282565,16.543578814754685,15.339491516996384
12,0.44,0.359,0.594,0.614,-0.412,0.131,0.27390563876403107,12.319902597017514,13.631214179228502
13,0.48,0.247,0.59,0.607,-0.397,0.132,0.27620090808947584,13.72333778641338,18.47159982242996
14,0.52,0.248,0.615,0.59,-0.4,0.155,0.26266381384354925,12.747548783982005,18.804786624686948
15,0.56,0.253,0.615,0.62,-0.384,0.161,0.3148945857411174,13.544740676735012,16.886977230990652
16,0.6,0.299,0.613,0.612,-0.375,0.163,0.3073910037436007,14.60855913497303,15.83982323133671
17,0.64,0.295,0.637,0.617,-0.381,0.172,0.3173699578059408,16.30766690854331,16.475436261295222
18,0.68,0.315,0.627,0.617,-0.381,0.165,0.29155413550064213,13.203408650799277,16.104657711358048
19,0.72,0.322,0.613,0.616,-0.385,0.165,0.30067161507504836,13.306013678032905,14.179210133149258
20,0.76,0.336,0.631,0.624,-0.372,0.161,0.29482300802275885,12.106609764917582,15.55409913816929
21,0.8,0.367,0.636,0.641,-0.378,0.166,0.29283173603074053,11.700000000000045,16.009996876951504
22,0.84,0.327,0.603,0.626,-0.381,0.169,0.2954980760539711,11.903780911962475,15.52932709424342
23,0.88,0.332,0.61,0.612,-0.382,0.17,0.29658510823465545,11.799999999999955,13.497407158413978
24,0.92,0.338,0.609,0.6,-0.39,0.181,0.3133806639836393,12.003749414245535,12.120231020900418
25,0.96,0.279,0.586,0.586,-0.381,0.181,0.2701236092322278,11.801694793545499,15.179591562357537
26,1.0,0.279,0.591,0.587,-0.38,0.188,0.26182066708439644,12.001666550941998,16.347782724271685
27,1.04,0.336,0.598,0.619,-0.377,0.189,0.33902898607286813,12.114866899805287,13.851353724455965
28,1.08,0.357,0.637,0.655,-0.367,0.188,0.3372198745910906,12.220065466273129,13.860014430006867
29,1.12,0.4,0.639,0.685,-0.37,0.201,0.3394962960969927,11.727318534089585,13.860014430006867
30,1.16,0.374,0.602,0.696,-0.368,0.2,0.4275281663902366,11.70170927685335,13.10419780070504
31,1.2,0.309,0.618,0.715,-0.373,0.215,0.3832059518573552,16.504847772699993,11.002272492535308
32,1.24,0.352,0.577,0.71,-0.381,0.228,0.421066195613983,13.462912017836352,12.813274366842972
33,1.28,0.0,0.0,0.715,-0.385,0.247,0.3437590885690922,11.754573577973716,12.101652779682714
34,1.32,0.0,0.0,0.73,-0.4,0.287,0.48579857954188777,12.078493283518482,10.183319694480678
35,1.36,0.0,0.0,0.73,-0.395,0.3,0.4511232863713816,12.477980605851435,12.026637102698324
