frame,timestamp,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,EAR,Pupil_Scale (Left),Pupil_Scale (Right)
1,0.0,0.0,0.0,-0.456,0.494,-0.023,,0.0,0.0
2,0.04,0.0,0.0,-0.456,0.494,-0.023,,0.0,0.0
3,0.08,0.0,0.0,-0.456,0.494,-0.023,,0.0,0.0
4,0.12,0.0,0.0,-0.456,0.494,-0.023,,0.0,0.0
5,0.16,0.0,0.0,-0.456,0.494,-0.023,,0.0,0.0
6,0.2,0.0,0.0,-0.456,0.494,-0.023,,0.0,0.0
7,0.24,0.0,0.0,-0.456,0.494,-0.023,,0.0,0.0
8,0.28,0.0,0.0,-0.456,0.494,-0.023,,0.0,0.0
9,0.32,0.0,0.0,-0.456,0.494,-0.023,,0.0,0.0
10,0.36,0.0,0.0,-0.456,0.494,-0.023,,0.0,0.0
11,0.4,0.0,0.0,-0.456,0.494,-0.023,,0.0,0.0
12,0.44,0.0,0.0,-0.456,0.494,-0.023,,0.0,0.0
13,0.48,0.0,0.0,-0.456,0.494,-0.023,,0.0,0.0
14,0.52,0.0,0.0,-0.456,0.494,-0.023,,0.0,0.0
15,0.56,0.0,0.0,-0.456,0.494,-0.023,,0.0,0.0
16,0.6,0.0,0.0,-0.456,0.494,-0.023,,0.0,0.0
17,0.64,0.0,0.0,-0.456,0.494,-0.023,,0.0,0.0
18,0.68,0.0,0.0,-0.456,0.494,-0.023,,0.0,0.0
19,0.72,0.0,0.0,-0.456,0.494,-0.023,,0.0,0.0
20,0.76,0.0,0.0,-0.456,0.494,-0.023,,0.0,0.0
21,0.8,0.0,0.0,-0.456,0.494,-0.023,,0.0,0.0
22,0.84,0.0,0.0,-0.456,0.494,-0.023,,0.0,0.0
23,0.88,0.0,0.0,-0.456,0.494,-0.023,,0.0,0.0
24,0.92,0.0,0.0,-0.456,0.494,-0.023,,0.0,0.0
25,0.96,0.0,0.0,-0.456,0.494,-0.023,,0.0,0.0
26,1.0,0.0,0.0,-0.456,0.494,-0.023,,0.0,0.0
27,1.04,0.0,0.0,-0.456,0.494,-0.023,,0.0,0.0
28,1.08,0.0,0.0,-0.456,0.494,-0.023,,0.0,0.0
29,1.12,0.0,0.0,-0.456,0.494,-0.023,,0.0,0.0
30,1.16,0.0,0.0,-0.456,0.494,-0.023,,0.0,0.0
31,1.2,0.0,0.0,-0.456,0.494,-0.023,,0.0,0.0
32,1.24,0.0,0.0,-0.456,0.494,-0.023,,0.0,0.0
33,1.28,0.0,0.0,-0.456,0.494,-0.023,,0.0,0.0
34,1.32,0.0,0.0,-0.456,0.494,-0.023,,0.0,0.0
35,1.36,0.0,0.0,-0.456,0.494,-0.023,,0.0,0.0
36,1.4,0.0,0.0,-0.456,0.494,-0.023,,0.0,0.0
37,1.44,0.0,0.0,-0.456,0.494,-0.023,,0.0,0.0
38,1.48,0.0,0.0,-0.456,0.494,-0.023,,0.0,0.0
39,1.52,0.0,0.0,-0.456,0.494,-0.023,,0.0,0.0
40,1.56,0.0,0.0,-0.456,0.494,-0.023,,0.0,0.0
41,1.6,0.0,0.0,-0.456,0.494,-0.023,,0.0,0.0
42,1.64,0.0,0.0,-0.456,0.494,-0.023,,0.0,0.0
43,1.68,0.0,0.0,-0.456,0.494,-0.023,,0.0,0.0
44,1.72,0.0,0.0,-0.456,0.494,-0.023,,0.0,0.0
45,1.76,0.0,0.0,-0.456,0.494,-0.023,,0.0,0.0
46,1.8,0.0,0.0,-0.456,0.494,-0.023,,0.0,0.0
47,1.84,0.0,0.0,-0.456,0.494,-0.023,,0.0,0.0
48,1.88,0.0,0.0,-0.456,0.494,-0.023,,0.0,0.0
49,1.92,0.0,0.0,-0.456,0.494,-0.023,,0.0,0.0
50,1.96,0.0,0.0,-0.456,0.494,-0.023,,0.0,0.0
51,2.0,0.0,0.0,-0.456,0.494,-0.023,,0.0,0.0
52,2.04,0.0,0.0,-0.456,0.494,-0.023,,0.0,0.0
53,2.08,0.0,0.0,-0.456,0.494,-0.023,,0.0,0.0
54,2.12,0.0,0.0,-0.456,0.494,-0.023,,0.0,0.0
55,2.16,0.0,0.0,-0.456,0.494,-0.023,,0.0,0.0
56,2.2,0.0,0.0,-0.456,0.494,-0.023,,0.0,0.0
57,2.24,0.0,0.0,-0.456,0.494,-0.023,,0.0,0.0
