frame,timestamp,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,EAR,Pupil_Scale (Left),Pupil_Scale (Right)
1,0.0,0.0,0.0,-0.401,0.463,0.001,,0.0,0.0
2,0.04,0.0,0.0,-0.401,0.463,0.001,,0.0,0.0
3,0.08,0.0,0.0,-0.401,0.463,0.001,,0.0,0.0
4,0.12,0.0,0.0,-0.401,0.463,0.001,,0.0,0.0
5,0.16,0.0,0.0,-0.401,0.463,0.001,,0.0,0.0
6,0.2,0.0,0.0,-0.401,0.463,0.001,,0.0,0.0
7,0.24,0.0,0.0,-0.401,0.463,0.001,,0.0,0.0
8,0.28,0.0,0.0,-0.401,0.463,0.001,,0.0,0.0
9,0.32,0.0,0.0,-0.401,0.463,0.001,,0.0,0.0
10,0.36,0.0,0.0,-0.401,0.463,0.001,,0.0,0.0
11,0.4,0.0,0.0,-0.401,0.463,0.001,,0.0,0.0
12,0.44,0.0,0.0,-0.401,0.463,0.001,,0.0,0.0
13,0.48,0.0,0.0,-0.401,0.463,0.001,,0.0,0.0
14,0.52,0.0,0.0,-0.401,0.463,0.001,,0.0,0.0
15,0.56,0.0,0.0,-0.401,0.463,0.001,,0.0,0.0
16,0.6,0.0,0.0,-0.401,0.463,0.001,,0.0,0.0
17,0.64,0.0,0.0,-0.401,0.463,0.001,,0.0,0.0
18,0.68,0.0,0.0,-0.401,0.463,0.001,,0.0,0.0
19,0.72,0.0,0.0,-0.401,0.463,0.001,,0.0,0.0
20,0.76,0.0,0.0,-0.401,0.463,0.001,,0.0,0.0
21,0.8,0.0,0.0,-0.401,0.463,0.001,,0.0,0.0
22,0.84,0.0,0.0,-0.401,0.463,0.001,,0.0,0.0
23,0.88,0.0,0.0,-0.401,0.463,0.001,,0.0,0.0
24,0.92,0.0,0.0,-0.401,0.463,0.001,,0.0,0.0
25,0.96,-0.189,0.253,0.051,0.207,-0.048,0.15867186411933287,11.21115515903696,12.026637102698327
26,1.0,-0.182,0.286,0.053,0.222,-0.041,0.14983708005893592,12.903487900563917,12.448694710691532
27,1.04,-0.133,0.236,0.0,0.217,-0.019,0.16580109387337097,13.405968819895204,11.800423721206014
28,1.08,-0.148,0.23,-0.005,0.225,-0.009,0.18655043416520947,12.20163923413576,11.001818031580054
29,1.12,-0.165,0.245,0.005,0.21,-0.007,0.1354344220813592,12.5,12.12641744292179
30,1.16,-0.1,0.238,-0.006,0.165,-0.026,0.18204262116804976,12.406449935416633,12.014990636700473
31,1.2,-0.083,0.244,-0.024,0.165,-0.037,0.14021413887337578,11.900420160649881,11.510864433221338
32,1.24,-0.105,0.231,-0.004,0.152,-0.045,0.12586786603266142,11.80381294328242,14.522052196573322
33,1.28,-0.093,0.18,0.001,0.143,-0.049,0.19690228640785964,13.324038426843481,13.403357788255988
34,1.32,-0.103,0.167,-0.0,0.136,-0.052,0.21608964290302293,14.81654480639797,14.627713423498582
35,1.36,-0.09,0.17,0.003,0.121,-0.05,0.20072912725298261,13.929106216839589,14.10567261778043
36,1.4,-0.092,0.186,-0.003,0.116,-0.048,0.213544072011554,12.92478239662082,13.503332921912278
37,1.44,-0.099,0.171,-0.006,0.105,-0.048,0.20607762739732444,12.946814279968622,13.503332921912278
38,1.48,-0.089,0.204,0.011,0.09,-0.046,0.20622097755680846,12.519584657647393,15.111915828246287
39,1.52,-0.051,0.225,0.006,0.082,-0.044,0.20241204140871838,11.960351165413144,13.95170240508314
40,1.56,-0.031,0.212,0.011,0.074,-0.047,0.19432150849406077,12.220065466273129,12.16963434126095
41,1.6,-0.032,0.198,0.005,0.047,-0.047,0.1910607590863529,11.827087553577966,14.268847185389511
42,1.64,-0.021,0.201,0.007,0.05,-0.048,0.17387035092338088,13.813037319865561,14.103191128251812
43,1.68,-0.012,0.198,0.008,0.029,-0.05,0.18519123224828649,14.621901381147415,14.342245291445897
44,1.72,-0.005,0.212,0.005,0.021,-0.052,0.1906121046249445,14.733974345029857,15.320900756809376
45,1.76,-0.003,0.219,0.008,0.006,-0.054,0.19127632077785445,12.410076550932288,14.527904184706063
46,1.8,0.029,0.178,0.013,-0.003,-0.054,0.15436859082410767,13.345411196362543,15.814550262337578
47,1.84,0.08,0.221,0.01,-0.016,-0.062,0.1532546236292796,13.817742217887796,12.965338406690327
48,1.88,0.077,0.225,0.018,-0.023,-0.071,0.14870107966400314,14.32236014070302,13.22422020385316
49,1.92,0.063,0.236,0.019,-0.034,-0.069,0.13316018493555837,14.022838514366484,14.577379737113251
50,1.96,0.085,0.255,0.026,-0.05,-0.072,0.1379392674626499,13.046455457326331,13.562448156582937
51,2.0,0.095,0.266,0.022,-0.062,-0.078,0.17211020486750053,14.358969322343395,15.339491516996208
52,2.04,0.083,0.249,0.027,-0.067,-0.083,0.18240051467829754,14.17956275771579,14.512408483776909
53,2.08,0.09,0.252,0.031,-0.078,-0.082,0.1931597508255995,14.86371420607911,16.424676556937214
54,2.12,0.105,0.257,0.035,-0.087,-0.083,0.20504438863551788,14.577379737113251,16.061133210331086
