frame,timestamp,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,EAR,Pupil_Scale (Left),Pupil_Scale (Right)
1,0.0,-0.17,-0.15,-0.398,0.29,0.089,0.2779986141022562,14.326548781894452,9.33434518324661
2,0.04,-0.223,-0.171,-0.386,0.288,0.096,0.29603519005364953,14.412841496387822,10.112368664165704
3,0.08,-0.151,-0.249,-0.407,0.283,0.1,0.28945122052323363,13.671868928570099,9.929753269845078
4,0.12,-0.168,-0.194,-0.396,0.303,0.108,0.3219042212054124,12.924782396620893,8.709190547921136
5,0.16,-0.154,-0.196,-0.403,0.295,0.108,0.2973703496053355,13.237069162016217,8.205485969764307
6,0.2,-0.148,-0.195,-0.4,0.294,0.11,0.2861268962087023,10.955363982999359,9.11975876873947
7,0.24,-0.197,-0.194,-0.387,0.283,0.101,0.29551961783667924,12.89961239727763,9.608329719571472
8,0.28,-0.221,-0.206,-0.393,0.278,0.109,0.25067577110528944,12.975746606650398,9.70206163658018
9,0.32,-0.249,-0.145,-0.391,0.286,0.114,0.051032341782538515,12.106609764917698,8.395236744726079
10,0.36,-0.218,-0.097,-0.367,0.277,0.102,0.03258314752373151,7.600657866263969,8.713208364316804
11,0.4,-0.243,-0.138,-0.374,0.28,0.109,0.05784403391880437,8.93588272080602,7.218032973047348
12,0.44,-0.219,-0.139,-0.373,0.286,0.105,0.1214860360685602,10.004498987955367,8.521150157109076
13,0.48,-0.25,-0.149,-0.374,0.268,0.101,0.15087704436726168,11.894956914591953,9.277930803794613
14,0.52,-0.254,-0.121,-0.371,0.273,0.097,0.18732806189185863,11.328283188550637,9.651942809610945
15,0.56,-0.275,-0.115,-0.378,0.279,0.095,0.20496941126249518,10.80046295304044,8.827797007181417
16,0.6,-0.246,-0.104,-0.369,0.275,0.093,0.2021243615903813,9.5524865872714,9.426027795418475
17,0.64,-0.246,-0.104,-0.378,0.282,0.093,0.23212337520109655,10.212247548899244,9.208691546577116
18,0.68,-0.248,-0.111,-0.381,0.28,0.092,0.23754363729229044,10.404326023342383,10.339245620450336
19,0.72,-0.243,-0.098,-0.372,0.278,0.092,0.23022691840899437,11.101801655587167,10.33924562045022
20,0.76,-0.238,-0.097,-0.378,0.275,0.092,0.2256145999250261,10.404326023342383,9.908077512817488
21,0.8,-0.188,-0.119,-0.374,0.273,0.09,0.24253377700936357,12.632101962856405,10.458011283222044
22,0.84,-0.256,-0.128,-0.378,0.274,0.087,0.23955680332002666,12.814054783713143,10.097524449091468
23,0.88,-0.208,-0.119,-0.382,0.273,0.088,0.23480555135921716,10.592922165295086,11.144954015158518
24,0.92,-0.28,-0.093,-0.367,0.284,0.083,0.13155336918753854,8.700574693662528,9.02441133814285
