frame,timestamp,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,EAR,Pupil_Scale (Left),Pupil_Scale (Right)
1,0.0,0.0,0.0,-0.401,0.463,0.001,,0.0,0.0
2,0.04,0.0,0.0,-0.401,0.463,0.001,,0.0,0.0
3,0.08,0.0,0.0,-0.401,0.463,0.001,,0.0,0.0
4,0.12,0.0,0.0,-0.401,0.463,0.001,,0.0,0.0
5,0.16,0.0,0.0,-0.401,0.463,0.001,,0.0,0.0
6,0.2,0.0,0.0,-0.401,0.463,0.001,,0.0,0.0
7,0.24,0.0,0.0,-0.401,0.463,0.001,,0.0,0.0
8,0.28,0.0,0.0,-0.401,0.463,0.001,,0.0,0.0
9,0.32,0.0,0.0,-0.401,0.463,0.001,,0.0,0.0
10,0.36,0.0,0.0,-0.401,0.463,0.001,,0.0,0.0
11,0.4,0.0,0.0,-0.401,0.463,0.001,,0.0,0.0
12,0.44,0.0,0.0,-0.401,0.463,0.001,,0.0,0.0
13,0.48,0.0,0.0,-0.401,0.463,0.001,,0.0,0.0
14,0.52,0.0,0.0,-0.401,0.463,0.001,,0.0,0.0
15,0.56,0.0,0.0,-0.401,0.463,0.001,,0.0,0.0
16,0.6,0.0,0.0,-0.401,0.463,0.001,,0.0,0.0
17,0.64,0.0,0.0,-0.401,0.463,0.001,,0.0,0.0
18,0.68,0.0,0.0,-0.401,0.463,0.001,,0.0,0.0
19,0.72,0.0,0.0,-0.401,0.463,0.001,,0.0,0.0
20,0.76,0.0,0.0,-0.401,0.463,0.001,,0.0,0.0
21,0.8,0.0,0.0,-0.401,0.463,0.001,,0.0,0.0
22,0.84,0.0,0.0,-0.401,0.463,0.001,,0.0,0.0
23,0.88,0.0,0.0,-0.401,0.463,0.001,,0.0,0.0
24,0.92,0.0,0.0,-0.401,0.463,0.001,,0.0,0.0
25,0.96,-0.138,0.028,-0.222,0.119,-0.044,0.156904713688718,10.10198000393973,10.104454463255326
26,1.0,-0.161,0.025,-0.23,0.172,-0.029,0.20910882303201558,9.704638066409208,11.9682914403017
27,1.04,-0.133,0.031,-0.238,0.166,-0.022,0.16769690357723388,9.308598175880144,10.369667304209976
28,1.08,-0.059,0.052,-0.262,0.161,-0.013,0.05679475935917919,10.412012293500212,8.452810183601624
29,1.12,-0.132,0.013,-0.285,0.195,0.001,0.0817874354393291,7.700649323271314,7.9630396206473595
30,1.16,-0.176,-0.075,-0.292,0.221,0.018,0.14446978146195535,11.200446419674462,8.386298349092955
31,1.2,-0.207,-0.048,-0.288,0.235,0.027,0.22545979643917147,11.301769772916167,9.850888284819868
32,1.24,-0.262,-0.1,-0.312,0.241,0.038,0.2577603481424559,12.639620247459991,10.33924562045022
33,1.28,-0.204,-0.174,-0.324,0.271,0.062,0.27471946431670635,14.993331851193,7.4108029254595404
34,1.32,-0.144,-0.148,-0.348,0.286,0.072,0.2816107305432044,13.421251804507724,9.10219753685891
35,1.36,-0.119,-0.147,-0.358,0.295,0.084,0.2679980989926847,11.915116449284053,8.528774824088158
36,1.4,-0.187,-0.133,-0.344,0.297,0.089,0.2579559804004049,11.968291440301812,7.851751396981512
37,1.44,-0.152,-0.175,-0.345,0.299,0.082,0.25330542695738595,12.731849826321437,8.646964785403046
38,1.48,-0.12,-0.214,-0.358,0.305,0.08,0.28029810067093075,11.10180165558728,9.104943712072052
39,1.52,-0.094,-0.223,-0.395,0.306,0.078,0.2806417252724097,10.112368664165704,9.600000000000023
40,1.56,-0.156,-0.256,-0.412,0.311,0.082,0.29171999078908994,14.073023839957157,8.720665112249227
41,1.6,-0.166,-0.226,-0.419,0.294,0.087,0.26222045098984315,13.916896205691799,9.204890004774681
42,1.64,-0.119,-0.222,-0.415,0.295,0.084,0.2793902056104781,12.614277624977206,8.005623023850172
43,1.68,-0.114,-0.229,-0.395,0.3,0.078,0.24902932859175914,11.506954418958996,10.630145812734673
44,1.72,-0.203,-0.201,-0.407,0.294,0.074,0.25499683368904347,11.116204388189363,11.701709276853578
45,1.76,-0.222,-0.179,-0.41,0.296,0.07,0.2511074093710032,9.741663102366092,8.528774824088158
46,1.8,-0.199,-0.27,-0.436,0.303,0.066,0.2824073264576139,12.90155029444134,12.391125856838098
47,1.84,-0.222,-0.307,-0.419,0.303,0.066,0.27815088602561244,13.049521064008486,10.932977636490389
48,1.88,-0.191,-0.194,-0.407,0.281,0.061,0.2749882939244649,14.30559331170849,10.977249200050046
49,1.92,-0.217,-0.204,-0.431,0.291,0.062,0.26773286765365345,13.705838172107466,10.903669107231703
50,1.96,-0.213,-0.23,-0.427,0.235,0.033,0.25922396522539815,11.221853679317023,11.287160847618019
51,2.0,-0.231,-0.246,-0.411,0.265,0.046,0.25945910184563137,11.19732110819363,11.795761950802431
52,2.04,-0.231,-0.122,-0.383,0.287,0.065,0.2484904647880065,13.900359707575893,10.348429832588199
53,2.08,-0.216,-0.144,-0.401,0.269,0.077,0.25709833526447007,12.026637102698324,9.353608929178153
54,2.12,-0.235,-0.147,-0.381,0.282,0.085,0.2586140605745551,12.205326705991961,10.204410811016901
